Assembly,Component,Quantity,Notes
Drew Glass Cuff Small,Stamped Leather Cuff Small,1,
,Beads - Gray 15-377H,0.85,
,Beads - Dark Gray 15-368A,0.85,
,Labor for Small Cuff,1,
,Beads - Gold 15-4202,0.85,
,Beads - Silver 15-4201,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Stamped Leather Cuff Small,"Glue - Aleene's, 8 oz",0.0005,
,Leather - Cowhide,0.05443,
,Copper Strip - Small Bracelet,1,
,Labor for Stamped Cuff,1,
Drew Glass Cuff Large,Beads - Gray 15-377H,1.5,
,Beads - Dark Gray 15-368A,1.5,
,Beads - Gold 15-4202,1.5,
,Beads - Silver 15-4201,1.5,
,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Stamped Leather Cuff Large,"Glue - Aleene's, 8 oz",0.0005,
,Leather - Cowhide,0.08403,
,Copper Strip - Large Bracelet,1,
,Labor for Stamped Cuff,1,
Andrea Glass Cuff Small,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Small Cuff,1,
,Beads - Gold 15-4202,0.95,
,Beads - Silver 15-4201,1.22,
,Beads - Dark Gray 15-377N,0.95,
,Beads - Gray 15-1866,0.27,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Andrea Glass Cuff Large,"Glue - Aleene's, 8 oz",0.0005,
,Beads - Gold 15-4202,1.8,
,Beads - Silver 15-4201,1.98,
,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,Beads - Gray 15-1866,0.42,
,Beads - Dark Gray 15-377N,1.8,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Coco Glass Cuff Small,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Small Cuff,1,
,Beads - Gold 15-4202,0.85,
,Beads - Silver 15-4201,0.85,
,Beads - Dark Gray 15-377N,0.85,
,Beads - Black 15-401,0.85,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Coco Glass Cuff Large,"Glue - Aleene's, 8 oz",0.0005,
,Beads - Gold 15-4202,1.5,
,Beads - Silver 15-4201,1.5,
,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,Beads - Black 15-401,1.5,
,Beads - Dark Gray 15-377N,1.5,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Dakota Glass Cuff Small,Stamped Leather Cuff Small,1,
,Labor for Small Cuff,1,
,Beads - Silver 15-4201,1.71,
,Beads - Dark Gray 15-377N,0.85,
,Beads - Black 15-401,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Fern Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,0.85,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,0.85,
,Beads - Gold 15-4202,0.85,
,Beads - Silver 15-4201,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Fern Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,4,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,4,
,Beads - Gold 15-4202,4,
,Beads - Silver 15-4201,4,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Fiona Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Gold 15-4202,0.68,
,Beads - Silver 15-4201,1.71,
,Beads - Turquoise 15-374,1.02,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Fiona Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Gold 15-4202,1.2,
,Beads - Silver 15-4201,3,
,Beads - Turquoise 15-374,1.8,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Grace Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,0.85,
,Beads - Gray 15-1866,1.71,
,Beads - Blue 15-399H,0.51,
,Beads - Brown 15-377D,0.34,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Grace Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Gray 15-1866,3.6,
,Beads - Silver 15-4201,0.9,
,Beads - Blue 15-399H,0.9,
,Beads - Brown 15-377D,0.6,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Harlow Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,1.71,
,Beads - Dark Gray 15-377N,1.02,
,Beads - Black 15-401,0.68,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Harlow Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Silver 15-4201,3.3,
,Beads - Dark Gray 15-377N,1.5,
,Beads - Black 15-401,1.2,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Ivy Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Beads - Gold 15-4202,1,
,Beads - Silver 15-4201,1,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,1,
Lacy Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Gold 15-4202,0.85,
,Beads - Green 15-375A,0.85,
,Beads - Turquoise 15-374,0.85,
,Beads - Yellow Green 722,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Lacy Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Gold 15-4202,1.5,
,Beads - Yellow Green 722,1.5,
,Beads - Turquoise 15-374,1.5,
,Beads - Green 15-375A,1.5,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Laura Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Black 15-401,3.9,
,Beads - Silver 15-4201,1.5,
,Beads - White 15-420,0.6,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Lina Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Gold 15-4202,1.02,
,Beads - Silver 15-4201,1.71,
,Beads - Gray 15-1866,0.68,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Lina Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Silver 15-4201,3,
,Beads - Gold 15-4202,1.8,
,Beads - Gray 15-1866,1.2,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Lolita Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Black 15-401,2.56,
,Beads - Silver 15-4201,0.44,
,Beads - Dark Gray 15-377N,0.41,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Lolita Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Black 15-401,4.8,
,Beads - Silver 15-4201,0.6,
,Beads - Dark Gray 15-377N,0.6,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Nora Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,2.22,
,Beads - Blue 15-399H,0.34,
,Beads - Dark Gray 15-377N,0.51,
,Beads - Gold 15-4202,0.34,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Paige Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,1.87,
,Beads - Gold 15-4202,0.68,
,Beads - Gray 15-377H,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D - bobbin,0.00442,
Paige Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Silver 15-4201,3.3,
,Beads - Dark Gray 15-377N,1.5,
,Beads - Gold 15-4202,1.2,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Sienna Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,1.02,
,Beads - Blue 15-399H,0.68,
,Beads - Gray 15-1866,1.71,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Sienna Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Silver 15-4201,1.8,
,Beads - Blue 15-399H,1.2,
,Beads - Gray 15-1866,3,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Stella Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Gold 15-4202,0.85,
,Beads - Silver 15-4201,1.71,
,Beads - 13/0 Charlotte Cut - Brown Iris,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Thunderbird Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,1.71,
,Beads - Gold 15-4202,0.85,
,Beads - 13/0 Charlotte Cut - Brown Iris,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Willow Glass Cuff Small,Stamped Leather Cuff Small,1,
,Labor for Small Cuff,1,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,0.68,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,0.68,
,Beads - Gold 15-4202,2.05,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Willow Glass Cuff Large,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,Beads - Gold 15-4202,3.6,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,1.2,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,1.2,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Willa Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,2.39,
,Beads - Gold 15-4202,0.41,
,Beads - Black 15-401,0.34,
,Beads - Dark Gray 15-377N,0.27,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Willa Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Silver 15-4201,3.9,
,Beads - Black 15-401,0.6,
,Beads - Dark Gray 15-377N,0.6,
,Beads - Gold 15-4202,0.9,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Zara Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,0.34,
,Beads - Gold 15-4202,0.34,
,Beads - Dark Gray 15-377N,2.22,
,Beads - Black 15-401,0.51,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Zara Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Dark Gray 15-377N,4.2,
,Beads - Black 15-401,0.9,
,Beads - Silver 15-4201,0.6,
,Beads - Gold 15-4202,0.3,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Aasha Glass Cuff Small,Stamped Leather Cuff Small,1,
,Labor for Small Cuff,1,
,Beads - Brown 15-377D,1.15,
,Beads - Brown 378,1.13,
,Beads - Gold 15-4202,1.13,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Aasha Glass Cuff Large,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,Beads - Brown 15-377D,2,
,Beads - Gold 15-4202,2,
,Beads - Brown 378,2,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Becca Glass Cuff Medium,"Glue - Aleene's, 8 oz",0.0005,
,Stamped Leather Cuff Medium,1,
,Labor for Medium Cuff,1,
,Beads - Berry 15-4208,0.39,
,Beads - Red 15-P489,0.59,
,Beads - Turquoise 15-374,0.74,
,Beads - Silver 15-4201,2.21,
,Beads - Green 15-375A,0.98,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Becca Glass Cuff Large,"Glue - Aleene's, 8 oz",0.0005,
,Beads - Silver 15-4201,2.7,
,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,Beads - Berry 15-4208,0.48,
,Beads - Red 15-P489,0.72,
,Beads - Turquoise 15-374,0.9,
,Thread - Nymo Nylon White Size B,0.0018,
,Beads - Green 15-375A,1.2,
,Thread - Nymo White Size D,0.00694,
Callie Glass Cuff Small,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Small Cuff,1,
,Beads - Gold 15-4202,0.68,
,Beads - Silver 15-4201,0.03,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,2.22,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,0.48,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Callie Glass Cuff Large,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Large Cuff,1,
,Beads - Gold 15-4202,0.84,
,Beads - Silver 15-4201,0.06,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,4.5,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,0.6,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
August Glass Cuff Small,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Small Cuff,1,
,Beads - Gold 15-4202,0.68,
,Beads - Silver 15-4201,1.02,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,1.36,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,0.34,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
August Glass Cuff Large,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Large Cuff,1,
,Beads - Gold 15-4202,1.2,
,Beads - Silver 15-4201,1.2,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,3,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,0.6,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Marian Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Gold 15-4202,1,
,Beads - Silver 15-4201,1,
,Beads - 13/0 Charlotte Cut - Light Blue Opaque,1,
,Beads - 13/0 Charlotte Cut - Cheyenne Pink Opaque,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Marian Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Gold 15-4202,2,
,Beads - Silver 15-4201,2,
,Beads - 13/0 Charlotte Cut - Light Blue Opaque,2,
,Beads - 13/0 Charlotte Cut - Cheyenne Pink Opaque,2,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Winnie Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,1,
,Beads - Gold 15-4202,1,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,1,
,Beads - 13/0 Charlotte Cut - Light Blue Opaque,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Winnie Glass Cuff Large,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,1,
,Beads - Gold 15-4202,1,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,1,
,Beads - 13/0 Charlotte Cut - Light Blue Opaque,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Michelle Luxe Cuff Small,Beads - Gold 15-4202,2,
,Beads - Silver 15-4201,2,
,Leather - Large Bracelet Strip,1,
,Labor for Large Cuff,1,
,Beads - Gray 15-1866,2,
,Beads - Dark Gray 15-377N,2,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00242,
,Thread - Nymo Nylon White Size 00,0.00063,
Sterling Silver Braided Luxe Cuff Small,Labor for Medium Cuff,1,
,Beads - 15/0 Charlotte Czech Gold,0.85,
,Beads - 15/0 Charlotte Czech Silver,1.71,
,Sterling Silver Cuff Bracelet with Rope Edge,1,
,Beads - 15/0 Charlotte Crystal Silver,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00242,
,Thread - Nymo Nylon White Size 00,0.00063,
Drew Luxe Cuff Small,Stamped Leather Cuff Small,1,
,Beads - 15/0 Charlotte Czech Gold,0.85,
,Beads - 15/0 Charlotte Czech Silver,0.85,
,Labor for Small Luxe Cuff,1,
,Beads - 15/0 Charlotte Bronze,0.85,
,Beads - 15/0 Charlotte Crystal Silver,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00242,
,Thread - Nymo Nylon White Size 00,0.00063,
Iris Luxe Cuff Small,Stamped Leather Cuff Small,1,
,Beads - 15/0 Charlotte Czech Gold,1.36,
,Beads - 15/0 Charlotte Czech Silver,2.05,
,Labor for Small Luxe Cuff,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00242,
,Thread - Nymo Nylon White Size 00,0.00063,
Lily Luxe Bangle Small,Bangle bracelet,1,
,Labor for Double Wrap,1,
,Beads - 15/0 Charlotte Czech Gold,2.25,
,Thread - Nymo Nylon White Size 00,0.00063,
Liv Luxe Bangle Small,Bangle bracelet,1,
,Labor for Small Luxe Cuff,1,
,Beads - 15/0 Charlotte Czech Gold,2,
,Thread - Nymo Nylon White Size 00,0.00063,
Naomi Luxe Cuff Small,Stamped Leather Cuff Small,1,
,Beads - Gray 15-377H,1,
,Beads - Dark Gray 15-368A,1,
,Labor for Small Cuff,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00242,
,Thread - Nymo Nylon White Size 00,0.00063,
Thunderbird Luxe Cuff Small,Stamped Leather Cuff Small,1,
,Beads - 15/0 Charlotte Czech Gold,0.68,
,Beads - 15/0 Charlotte Czech Silver,2.05,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Small Luxe Cuff,1,
,Beads - 15/0 Charlotte Bronze,0.51,
,Beads - 15/0 Charlotte Crystal Silver,0.17,
,Thread - Nymo Nylon White Size 0,0.00242,
,Thread - Nymo Nylon White Size 00,0.00063,
Drew Luxe Double Wrap,Leather - Large Bracelet Strip,1,
,Beads - 15/0 Charlotte Czech Gold,1.71,
,Beads - 15/0 Charlotte Czech Silver,1.71,
,Labor for Double Wrap,1,
,"Leather - Lace, 1mm",1,
,Beads - 15/0 Charlotte Bronze,1.71,
,Beads - 15/0 Charlotte Crystal Silver,1.71,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00484,
,Thread - Nymo Nylon White Size 00,0.00126,
,"Button, Etkie logo - large",1,
Iris Luxe Cuff Large,Stamped Leather Cuff Large,1,
,Beads - 15/0 Charlotte Czech Gold,2.4,
,Beads - 15/0 Charlotte Czech Silver,3.6,
,Labor for Large Luxe Cuff,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00415,
,Thread - Nymo Nylon White Size 00,0.00167,
Drew Luxe Cuff Large,Stamped Leather Cuff Large,1,
,Beads - 15/0 Charlotte Czech Gold,1.5,
,Beads - 15/0 Charlotte Czech Silver,1.5,
,Beads - 15/0 Charlotte Bronze,1.5,
,Beads - 15/0 Charlotte Crystal Silver,1.5,
,Labor for Large Luxe Cuff,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00415,
,Thread - Nymo Nylon White Size 00,0.00167,
Philomena Luxe Cuff Large,Stamped Leather Cuff Large,1,
,Beads - 15/0 Charlotte Czech Gold,1.5,
,Beads - 15/0 Charlotte Czech Silver,3,
,Labor for Large Luxe Cuff,1,
,Beads - 15/0 Charlotte Bronze,1.5,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00415,
,Thread - Nymo Nylon White Size 00,0.00167,
Thunderbird Luxe Cuff Large,Stamped Leather Cuff Large,1,
,Beads - 15/0 Charlotte Czech Gold,1.2,
,Beads - 15/0 Charlotte Czech Silver,3.6,
,Labor for Large Luxe Cuff,1,
,Beads - 15/0 Charlotte Bronze,0.9,
,Beads - 15/0 Charlotte Crystal Silver,3,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00415,
,Thread - Nymo Nylon White Size 00,0.00167,
Blake Luxe Earrings Gold,"Glue - Aleene's, 8 oz",0.0005,
