WorkOrderNumber,Date,Comment,Closed,Quantity,DueDate,Item,Memo,SalesOrderId,UOMSetId,LineNumber,QuantityRaw,ClassId,Matrix1Id,Matrix2Id,Quantity2,Quantity2Raw,UomSet2Id,ProcessId,Produced,ProducedRaw,Job
170621_CCHA,6/13/2017 2:41,,FALSE,3,,Alice Glass Cuff Large,,,,1,3,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,2,,Anna Glass Cuff Large,,,,2,2,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,1,,Tallulah Glass Cuff Large,,,,3,1,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,1,,"Bracelet, Grey and Gold Mother's Day Maze Pair Small",,,,4,1,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,2,,"Bracelet, Grey and Silver Mother's Day Maze Pair Small",,,,5,2,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,1,,Lolita Glass Cuff Small,,,,6,1,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,1,,Nova Glass Cuff Small,,,,7,1,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,1,,Paige Glass Cuff Small,,,,8,1,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,1,,Sienna Glass Cuff Small,,,,9,1,,,,,,,,0,0,
170621_CCHA,6/13/2017 2:41,,FALSE,1,,Sonia Glass Cuff Small,Gold + Silver + 494,,,10,1,,,,,,,,0,0,
170621_DB,6/13/2017 2:45,,FALSE,2,,Drew Glass Cuff Large,,,,1,2,,,,,,,,0,0,
170621_DB,6/13/2017 2:45,,FALSE,3,,Jenn Glass Cuff Large,,,,2,3,,,,,,,,0,0,
170621_DB,6/13/2017 2:45,,FALSE,1,,Aasha Glass Cuff Small,,,,3,1,,,,,,,,0,0,
170621_DB,6/13/2017 2:45,,FALSE,1,,Cami Glass Cuff Small,,,,4,1,,,,,,,,0,0,
170621_DB,6/13/2017 2:45,,FALSE,1,,Casandre Small cuff,,,,5,1,,,,,,,,0,0,
170621_DC,6/13/2017 2:46,,FALSE,1,,Eileen Glass Cuff Large,,,,1,1,,,,,,,,0,0,
170621_DC,6/13/2017 2:46,,FALSE,1,,Harlow Glass Cuff Large,,,,2,1,,,,,,,,0,0,
170621_DC,6/13/2017 2:46,,FALSE,1,,Kelly Glass Cuff Large,,,,3,1,,,,,,,,0,0,
170621_DC,6/13/2017 2:46,,FALSE,1,,Laura Glass Cuff Large,,,,4,1,,,,,,,,0,0,
170621_DC,6/13/2017 2:46,,FALSE,1,,Paige Glass Cuff Large,,,,5,1,,,,,,,,0,0,
170621_DC,6/13/2017 2:46,,FALSE,1,,"Bracelet, Turquoise and Gold Mother's Day Maze Pair Small",,,,6,1,,,,,,,,0,0,
170621_DC,6/13/2017 2:46,,FALSE,1,,"Bracelet, Turquoise and Silver Mother's Day Maze Pair Small",,,,7,1,,,,,,,,0,0,
170621_DC,6/13/2017 2:46,,FALSE,1,,Nora Glass Cuff Small,,,,8,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Lina Glass Cuff Large,,,,1,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Sonia Glass Cuff Large,Gold + Silver + 494,,,2,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,3,,Stella Glass Cuff Large,,,,3,3,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Willa Glass Cuff Large,,,,4,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,3,,OKeeffe Glass Cuff Small - 5,"Light blue, silver, dark blue and turquoise blue vertical stripes. Edge beaded in silver.",,,5,3,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,2,,OKeeffe Glass Cuff Small - 6,,,,6,2,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Stella Glass Cuff Small,,,,7,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Tallulah Glass Cuff Small,,,,8,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Thunderbird Rose Cuff Small,,,,9,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Tierra Glass Cuff Small,,,,10,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Willa Glass Cuff Small,,,,11,1,,,,,,,,0,0,
170621_PC,6/13/2017 2:47,,FALSE,1,,Zara Glass Cuff Small,,,,12,1,,,,,,,,0,0,
170621_TB,6/13/2017 2:52,,FALSE,1,,Cami Glass Cuff Large,,,,1,1,,,,,,,,0,0,
170621_TB,6/13/2017 2:52,,FALSE,1,,Cara Glass Cuff Large,,,,2,1,,,,,,,,0,0,
170621_TB,6/13/2017 2:52,,FALSE,1,,Casandre Large cuff,,,,3,1,,,,,,,,0,0,
170621_TB,6/13/2017 2:52,,FALSE,2,,Wren Glass Cuff Large,,,,4,2,,,,,,,,0,0,
170621_TB,6/13/2017 2:52,,FALSE,1,,Eileen Glass Cuff Small,,,,5,1,,,,,,,,0,0,
170621_TB,6/13/2017 2:52,,FALSE,1,,Hildreth Glass Cuff Small,,,,6,1,,,,,,,,0,0,
170621_TB,6/13/2017 2:52,,FALSE,1,,Meredith Glass Cuff Small,,,,7,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Aleksa Glass Cuff Large,,,,1,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Dakota Glass Cuff Large,,,,2,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,3,,Lolita Glass Cuff Large,,,,3,3,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Aleksa Glass Cuff Small,,,,4,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Alice Glass Cuff Small,,,,5,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Cara Glass Cuff Small,,,,6,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Coco Glass Cuff Small,,,,7,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Harlow Glass Cuff Small,,,,8,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Hendrix Glass Cuff Small,,,,9,1,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,4,,Kelly Glass Cuff Small,,,,10,4,,,,,,,,0,0,
170621_VW,6/13/2017 2:53,,FALSE,1,,Lina Glass Cuff Small,,,,11,1,,,,,,,,0,0,
